Star_name,Distance,Mass,Radius,Gravity
sdssj000013542554186de,46.1,9.113642553599999e+28,70777296.90899992,1214.2000569364636
2massj000402886410358,192.0,3.6074835108e+28,116532317.13299993,177.2955327030963
2massj002424630158201,37.7,1.49995367028e+29,77926518.81899999,1648.5172507306947
2massj002741970503417,236.0,5.8858941492000005e+28,102948795.50399993,370.6432628229714
2masswj0030300145033,87.2,1.02528478728e+29,70062374.71799994,1393.9943359838155
2massj003323861521309de,131.0,5.5061590427999995e+28,102233873.31299993,351.5971318717642
2massj003451570523050,31.0,7.974437234399999e+28,67202685.95399994,1178.4549471797186
2mass00361821,28.6,7.974437234399999e+28,67202685.95399994,1178.4549471797186
2masswj0045214163445,57.0,4.3669537235999995e+28,115817394.942,217.2787267524544
wisepj004701066803521fr,40.0,2.2784106383999997e+28,92939884.82999994,176.0410467164833
2massj005019943322402de,34.0,7.594702128e+28,67202685.95399994,1122.3380449330652
2massj005842530651239de,96.0,5.5061590427999995e+28,102233873.31299993,351.5971318717642
2massij0103320193536,70.0,9.873112766399999e+28,70062374.71799994,1342.364916132563
sdsspj010752330041561de,51.0,9.873112766399999e+28,70062374.71799994,1342.364916132563
2massij0117474340325de,163.0,3.797351064e+28,115817394.942,188.93802326300383
2massj014158234633574de,130.0,3.797351064e+28,115102472.751,191.292368446984
sdssj015141691244296,70.0,8.9237750004e+28,69347452.52699994,1238.4366334263539
sdssj020742480000562de,111.0,8.9237750004e+28,69347452.52699994,1238.4366334263539
2massj021038573015313,101.0,2.848013298e+28,109383095.22299999,158.86484308965376
2massj023400936442068,155.0,3.797351064e+28,115817394.942,188.93802326300383
2massj024111510326587de,152.0,5.1264239364e+28,100804028.93099992,336.70141347991955
2massj024313712453298,35.0,6.265629255599999e+28,70777296.90899992,834.7625391438187
lp77121,53.0,1.48096691496e+29,77211596.628,1657.9311541328584
teegardensstar,12.578,1.5189404256e+29,90795118.25699992,1229.7078510792437
2massj025359803206373,184.0,1.2341390958e+29,135835216.28999993,446.40140770557906
wisej02540223,24.0,1.2341390958e+29,135835216.28999993,446.40140770557906
den02554700,16.2,1.5189404256e+29,69347452.52699994,2107.977248385283
2massj031854033421292de,45.0,9.3035101068e+28,69347452.52699994,1291.136064635986
2massj032059651854233,47.0,1.67083446816e+29,82216051.96499993,1649.7053854867931
2massj032310024631237,192.0,4.3669537235999995e+28,118677083.70599999,206.93362261908166
sdssj032553170425401,59.0,8.544039894e+28,67917608.14499994,1236.18851364622
2massj032642252102057de,80.0,3.4176159576e+28,92939884.82999994,264.06157007472495
2massj032842652302051de,98.0,1.02528478728e+29,70062374.71799994,1393.9943359838155
2massj033412184953322,27.0,1.3860331383599998e+29,74351907.864,1673.3068242582376
lp94420,20.9,1.3860331383599998e+29,102233873.31299993,885.0548491944406
2maspj0345432254023,88.0,1.40501989368e+29,75066830.055,1664.073567827919
teide1,380.0,1.0442715426e+29,270240588.1979999,95.4329811379459
2massj035100040052452,48.0,1.93664904264e+29,90795118.25699992,1567.877510126036
2massj035523371133437,29.8,3.797351064e+28,94369729.212,284.5781383444831
